"filename", "language", "JSON with Comments", "JavaScript", "TypeScript", "TypeScript JSX", "JSON", "CSS", "Groovy", "Batch", "Java Properties", "XML", "Properties", "comment", "blank", "total"
"c:\Users\17162\source\repos\Freelance\Layover\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\17162\source\repos\Freelance\Layover\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 68, 22, 177
"c:\Users\17162\source\repos\Freelance\Layover\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"c:\Users\17162\source\repos\Freelance\Layover\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 35
"c:\Users\17162\source\repos\Freelance\Layover\android\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\17162\source\repos\Freelance\Layover\android\app\src\main\res\drawable\rn_edit_text_material.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 23, 3, 38
"c:\Users\17162\source\repos\Freelance\Layover\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\17162\source\repos\Freelance\Layover\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\17162\source\repos\Freelance\Layover\android\app\src\main\res\values-night\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\17162\source\repos\Freelance\Layover\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\17162\source\repos\Freelance\Layover\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\17162\source\repos\Freelance\Layover\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 17
"c:\Users\17162\source\repos\Freelance\Layover\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 6, 42
"c:\Users\17162\source\repos\Freelance\Layover\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 33, 13, 57
"c:\Users\17162\source\repos\Freelance\Layover\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\17162\source\repos\Freelance\Layover\android\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 32, 22, 95
"c:\Users\17162\source\repos\Freelance\Layover\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Users\17162\source\repos\Freelance\Layover\app.json", "JSON", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 1, 73
"c:\Users\17162\source\repos\Freelance\Layover\babel.config.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\17162\source\repos\Freelance\Layover\eas.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\17162\source\repos\Freelance\Layover\firebase.json", "JSON", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\17162\source\repos\Freelance\Layover\firebaseConfig.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 37
